league,season,game,team,player,jersey_number,nation,pos,age,min,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp%,prgp,carries,prgc,succ,league_misc,season_misc,jersey_number_misc,nation_misc,pos_misc,age_misc,min_misc,crdy_misc,crdr_misc,2crdy,fls,fld,off,crs,int_misc,tklw,pkwon,pkcon,og,recov,won,lost,won%,date
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Arnau Martinez,4,ESP,RB,22-112,57,0,0,0,0,0,0,0,0,51,1,1,2,0.0,0.0,0.0,0,0,34,43,79.1,0,33,1,0,ESP-La Liga,2526,4,ESP,RB,22-112,57,0,0,0,0,1,0,2,1,1,0,0,0,2,1,0,100.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Bojan Miovski,19,MKD,FW,26-052,44,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,0,ESP-La Liga,2526,19,MKD,FW,26-052,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Daley Blind,17,NED,"LB,CB",35-159,57,0,0,0,0,0,0,0,0,36,3,0,1,0.0,0.0,0.0,1,0,28,31,90.3,2,19,0,0,ESP-La Liga,2526,17,NED,"LB,CB",35-159,57,0,0,0,0,0,0,0,0,2,0,0,0,5,3,1,75.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,David López,5,ESP,CB,35-310,90,0,0,0,0,0,0,0,0,79,1,0,1,0.0,0.0,0.0,0,0,59,76,77.6,5,54,1,0,ESP-La Liga,2526,5,ESP,CB,35-310,90,0,0,0,1,0,1,0,0,1,0,0,0,6,1,0,100.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Hugo Rincón,2,ESP,RB,22-200,33,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,0,0,15,22,68.2,1,13,1,1,ESP-La Liga,2526,2,ESP,RB,22-200,33,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Jhon Solis,22,COL,CM,20-316,90,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,1,0,30,33,90.9,2,30,0,2,ESP-La Liga,2526,22,COL,CM,20-316,90,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Joel Roca,33,ESP,"LB,LM",20-069,90,1,0,0,0,1,1,0,0,31,3,0,1,0.3,0.3,0.0,0,0,12,17,70.6,0,26,2,3,ESP-La Liga,2526,33,ESP,"LB,LM",20-069,90,0,0,0,1,2,0,1,0,2,0,0,0,5,1,1,50.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Ladislav Krejčí,18,CZE,CB,26-117,90,0,0,0,0,1,0,0,0,51,0,1,2,0.1,0.1,0.0,1,0,37,42,88.1,2,33,0,0,ESP-La Liga,2526,18,CZE,CB,26-117,90,0,0,0,1,0,0,0,1,0,0,0,0,6,3,3,50.0,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Paulo Gazzaniga,13,ARG,GK,33-225,42,0,0,0,0,0,0,0,1,18,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,0,14,0,0,ESP-La Liga,2526,13,ARG,GK,33-225,42,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,,2025-08-15
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Portu,8,ESP,FW,33-086,45,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.1,1,0,8,11,72.7,1,5,0,0,ESP-La Liga,2526,8,ESP,FW,33-086,45,0,0,0,0,1,0,2,0,0,0,0,0,1,2,1,66.7,2025-08-15
